Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, ClimateRegion3, 0, 1, 0, 5239, 3574, 0, 0, 0, 0, 0.5, 161.3, 0, 0, 0, 1679.8, 518.3, 215.3, 167.8, 0, 0, 18.3, 3.2, 105, 105, 2647, 2382, 0, 0, 4.4, 3, 1.1, 0.8, 0, 0, 0.1, 0.3, 3, 4, 70, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151.9, 0, 0, 
1, ClimateRegion3, 0, 1, -247.2, 5113.2, 4087, 303.1, 122, 25.4, 21.6, 0.4, 161.8, 6, 87.2, 48.8, 1840.7, 568.1, 234.5, 172.8, 9.5, 4.1, 3.9, 4.2, 57, 107.5, 2566.2, 2382.5, 1.8, 1, 4.8, 3.3, 1.1, 0.9, 0, 0.1, 0, 0.2, 1.6, 5.3, 67.4, 74, 0, 0, 0, 0.2, 1.4, 2.2, -0.5, 0, 0.72, 0.2, 0.06, 0, 0, 4.1, 0.3, 149, 0.08, 0, 
2, ClimateRegion3, 0, 1, -249.1, 5025.4, 4559, 305.8, 123.1, 60.1, 23.6, 0.43, 162.4, 6.1, 140.8, 78.9, 2009.2, 620.1, 237.9, 174, 21.8, 9.3, 9.8, 8.5, 46.3, 107.7, 2488.6, 2382.9, 2.8, 1.6, 5.3, 3.6, 1.1, 0.9, 0.1, 0.2, 0.1, 0.3, 1.1, 6, 64.9, 74.1, 0.1, -0.2, 0, 0.1, 0.9, 2.9, -0.5, 0, 0.72, 0.29, 0.08, 0, 0, 3.8, 0.6, 147.1, 0.08, 0, 
3, ClimateRegion3, 0, 1, -265, 4967.9, 5037, 333.6, 134.2, 84, 25.8, 0.47, 162.9, 6.7, 180.9, 101.4, 2192.8, 676.8, 236.1, 172.5, 31.4, 13.5, 15.3, 11.9, 50.9, 111.2, 2422.4, 2383.3, 3.6, 2, 5.8, 4, 1, 0.9, 0.2, 0.3, 0.1, 0.4, 1.2, 6.5, 62.5, 74.1, 0.1, -0.3, 0, 0.1, 0.8, 3.2, -0.6, 0, 0.72, 0.31, 0.09, 0, 0, 4, 0.9, 145.7, 0.09, 0, 
4, ClimateRegion3, 0, 1, -283.7, 4929.4, 5535, 363.5, 146.3, 102.8, 28.2, 0.52, 163.5, 7.2, 213.5, 119.6, 2392.8, 738.6, 231.2, 168.5, 39, 16.8, 19.8, 14.7, 60.3, 115.9, 2369.4, 2383.8, 4.3, 2.4, 6.3, 4.3, 1, 0.9, 0.2, 0.4, 0.1, 0.5, 1.4, 6.8, 60.3, 74.1, 0.1, -0.4, 0, 0.2, 0.9, 3.5, -0.6, 0, 0.72, 0.32, 0.1, 0, 0, 4.2, 1.1, 144.4, 0.1, 0, 
5, ClimateRegion3, 0, 1, -300.6, 4903.8, 6045, 390.4, 157.1, 118.2, 30.8, 0.55, 164, 7.7, 240.7, 134.8, 2607.1, 804.7, 225.2, 162.8, 45.2, 19.5, 23.6, 16.9, 70.2, 120.7, 2328.7, 2384.2, 4.9, 2.7, 6.8, 4.7, 0.9, 0.8, 0.2, 0.5, 0.1, 0.6, 1.6, 7.1, 58.3, 74.2, 0.1, -0.4, 0, 0.2, 1, 3.6, -0.7, 0, 0.72, 0.34, 0.1, 0, 0, 4.5, 1.2, 143.2, 0.1, 0, 
6, ClimateRegion3, 0, 1, -314.5, 4887.5, 6575, 413, 166.2, 131.2, 33.5, 0.58, 164.5, 8.1, 263.3, 147.5, 2832.7, 874.2, 219.8, 155.7, 50.4, 21.7, 26.6, 18.8, 79, 125.1, 2298.7, 2384.7, 5.3, 3, 7.4, 5.1, 0.8, 0.8, 0.3, 0.5, 0.1, 0.6, 1.9, 7.4, 56.5, 74.2, 0.2, -0.5, 0.1, 0.2, 1.2, 3.8, -0.8, 0, 0.72, 0.36, 0.11, 0, 0, 4.7, 1.4, 142, 0.11, 0, 
7, ClimateRegion3, 0, 1, -325.6, 4878.5, 7112, 431.5, 173.7, 142, 36.4, 0.61, 165, 8.4, 282.1, 158, 3067, 946.5, 215.7, 147.9, 54.7, 23.6, 29.2, 20.4, 86.4, 129, 2277.9, 2385.1, 5.7, 3.2, 8, 5.5, 0.8, 0.8, 0.3, 0.5, 0.1, 0.7, 2.1, 7.6, 54.9, 74.2, 0.2, -0.6, 0.1, 0.2, 1.3, 3.9, -0.9, 0, 0.72, 0.37, 0.12, 0, 0, 4.8, 1.5, 141, 0.12, 0, 
8, ClimateRegion3, 0, 1, -334.3, 4875.1, 7658, 446.3, 179.6, 151, 39.4, 0.63, 165.4, 8.7, 297.5, 166.7, 3307.5, 1020.6, 213.7, 140, 58.3, 25.2, 31.3, 21.7, 92.4, 132.4, 2264.7, 2385.6, 6, 3.3, 8.7, 6, 0.7, 0.7, 0.3, 0.6, 0.2, 0.7, 2.3, 7.7, 53.3, 74.3, 0.2, -0.6, 0.1, 0.3, 1.5, 4, -1, 0, 0.72, 0.39, 0.12, 0, 0, 5, 1.6, 140, 0.12, 0, 
9, ClimateRegion3, 0, 1, -340.7, 4876.1, 8205, 458, 184.3, 158.3, 42.5, 0.64, 165.9, 9, 310, 173.7, 3552.2, 1096, 214, 132.3, 61.3, 26.4, 33, 22.7, 97.2, 135.1, 2257.7, 2386.1, 6.3, 3.5, 9.3, 6.4, 0.7, 0.7, 0.3, 0.6, 0.2, 0.8, 2.4, 7.9, 52, 74.3, 0.2, -0.6, 0.1, 0.3, 1.6, 4, -1.1, 0, 0.72, 0.4, 0.12, 0, 0, 5.1, 1.6, 139, 0.12, 0, 
10, ClimateRegion3, 0, 1, -345.4, 4880.9, 8750, 467.1, 188, 164.3, 45.6, 0.65, 166.4, 9.2, 319.9, 179.2, 3799.4, 1172.2, 216.6, 125.3, 63.7, 27.5, 34.4, 23.6, 101.2, 137.4, 2255.8, 2386.5, 6.5, 3.6, 10, 6.9, 0.7, 0.7, 0.3, 0.6, 0.2, 0.8, 2.5, 8, 50.7, 74.3, 0.2, -0.7, 0.1, 0.3, 1.7, 4.1, -1.2, 0, 0.72, 0.41, 0.13, 0, 0, 5.1, 1.7, 138.1, 0.13, 0, 
11, ClimateRegion3, 0, 1, -348.3, 4888.5, 9296, 473.8, 190.7, 168.9, 48.8, 0.66, 166.8, 9.4, 327.8, 183.6, 4047.7, 1248.7, 221.3, 119.3, 65.6, 28.3, 35.6, 24.3, 104.4, 139.1, 2257.9, 2387, 6.6, 3.7, 10.6, 7.3, 0.7, 0.7, 0.3, 0.7, 0.2, 0.8, 2.6, 8.1, 49.5, 74.4, 0.2, -0.7, 0.1, 0.3, 1.7, 4.2, -1.2, 0, 0.72, 0.42, 0.13, 0, 0, 5.2, 1.8, 137.3, 0.13, 0, 
12, ClimateRegion3, 0, 1, -349.6, 4898.5, 9837, 478.7, 192.6, 172.6, 52, 0.66, 167.3, 9.5, 333.8, 187, 4295.8, 1325.1, 227.9, 114.3, 67.1, 28.9, 36.5, 24.8, 107.2, 140.5, 2263.3, 2387.5, 6.7, 3.7, 11.3, 7.8, 0.7, 0.6, 0.4, 0.7, 0.2, 0.8, 2.7, 8.2, 48.4, 74.4, 0.2, -0.7, 0.1, 0.3, 1.8, 4.2, -1.3, 0, 0.72, 0.42, 0.13, 0, 0, 5.2, 1.8, 136.5, 0.13, 0, 
13, ClimateRegion3, 0, 1, -349.6, 4910.5, 10372, 482, 194, 175.4, 55.2, 0.67, 167.8, 9.6, 338.3, 189.5, 4542.7, 1401.2, 236.2, 110.6, 68.3, 29.4, 37.2, 25.2, 109.5, 141.6, 2271.4, 2388, 6.8, 3.8, 11.9, 8.2, 0.7, 0.6, 0.4, 0.7, 0.2, 0.8, 2.8, 8.3, 47.4, 74.4, 0.2, -0.7, 0.1, 0.3, 1.9, 4.3, -1.4, 0, 0.72, 0.43, 0.13, 0, 0, 5.3, 1.8, 135.7, 0.13, 0, 
14, ClimateRegion3, 0, 1, -348.5, 4924.2, 10897, 484, 194.8, 177.6, 58.4, 0.67, 168.2, 9.7, 341.4, 191.3, 4787.5, 1476.5, 245.9, 108, 69.2, 29.8, 37.7, 25.5, 111.5, 142.5, 2281.7, 2388.5, 6.9, 3.8, 12.6, 8.6, 0.7, 0.6, 0.4, 0.7, 0.2, 0.8, 2.9, 8.4, 46.5, 74.5, 0.2, -0.7, 0.1, 0.3, 1.9, 4.3, -1.5, 0, 0.72, 0.43, 0.13, 0, 0, 5.3, 1.9, 135, 0.13, 0, 
15, ClimateRegion3, 0, 1, -346.3, 4939.3, 11419, 484.9, 195.1, 179.1, 61.6, 0.67, 168.7, 9.8, 343.5, 192.5, 5029.7, 1551, 256.8, 106.5, 69.8, 30.1, 38.1, 25.7, 113.2, 143.3, 2293.8, 2389, 6.9, 3.9, 13.2, 9.1, 0.7, 0.6, 0.4, 0.7, 0.2, 0.8, 2.9, 8.5, 45.6, 74.5, 0.2, -0.7, 0.1, 0.3, 1.9, 4.4, -1.5, 0, 0.72, 0.43, 0.13, 0, 0, 5.3, 1.9, 134.3, 0.13, 0, 
16, ClimateRegion3, 0, 1, -343.1, 4955.5, 11937, 484.8, 195.1, 180.1, 64.8, 0.67, 169.1, 9.8, 344.6, 193.1, 5268.5, 1624.5, 268.6, 106.1, 70.2, 30.3, 38.4, 25.8, 114.8, 143.9, 2307.3, 2389.5, 7, 3.9, 13.8, 9.5, 0.7, 0.6, 0.4, 0.7, 0.2, 0.9, 2.9, 8.6, 44.8, 74.6, 0.2, -0.7, 0.1, 0.3, 2, 4.4, -1.6, 0, 0.72, 0.44, 0.13, 0, 0, 5.3, 1.9, 133.6, 0.13, 0, 
17, ClimateRegion3, 0, 1, -342, 4973.9, 12439, 486.9, 195.9, 183.3, 68, 0.67, 169.7, 9.9, 345.8, 193.8, 5506.8, 1697.4, 281.3, 106.5, 71.4, 30.7, 38.9, 26.1, 116.5, 144.8, 2322.5, 2390, 7, 3.9, 14.4, 9.9, 0.8, 0.6, 0.4, 0.7, 0.2, 0.9, 3, 8.6, 44, 74.6, 0.2, -0.7, 0.1, 0.3, 2, 4.5, -1.7, 0, 0.72, 0.44, 0.14, 0, 0, 5.3, 2, 133, 0.13, 0, 
18, ClimateRegion3, 0, 1, -335.3, 4992.9, 12931, 484.2, 194.9, 182.2, 71.1, 0.67, 170.1, 10, 345, 193.4, 5738.5, 1768.5, 294.5, 107.7, 71.4, 30.6, 38.9, 26, 117.9, 145.5, 2339, 2390.5, 7, 3.9, 15, 10.3, 0.8, 0.6, 0.4, 0.7, 0.2, 0.9, 3, 8.7, 43.3, 74.6, 0.2, -0.7, 0.1, 0.3, 2, 4.5, -1.8, 0, 0.72, 0.44, 0.14, 0, 0, 5.2, 1.9, 132.5, 0.13, 0, 
19, ClimateRegion3, 0, 1, -328.6, 5012.1, 13408, 480.8, 193.5, 181.3, 74.2, 0.66, 170.6, 10, 343.9, 192.7, 5965, 1838, 308.1, 109.6, 71.1, 30.5, 38.8, 25.9, 119, 146.1, 2356, 2391, 7, 3.9, 15.6, 10.7, 0.8, 0.6, 0.4, 0.7, 0.2, 0.9, 3, 8.8, 42.6, 74.7, 0.2, -0.7, 0.1, 0.3, 2, 4.5, -1.8, 0, 0.72, 0.44, 0.14, 0, 0, 5.2, 1.9, 131.9, 0.14, 0, 
20, ClimateRegion3, 0, 1, -319.7, 5031.3, 13874, 475.6, 191.4, 180, 77.3, 0.66, 171, 10, 342, 191.7, 6185.2, 1905.6, 322.1, 112, 70.5, 30.3, 38.6, 25.7, 119.8, 146.5, 2373.4, 2391.5, 6.9, 3.8, 16.2, 11.1, 0.9, 0.6, 0.4, 0.7, 0.2, 0.9, 3, 8.8, 42, 74.7, 0.2, -0.7, 0.1, 0.3, 2, 4.6, -1.9, 0, 0.72, 0.44, 0.15, 0, 0, 5.1, 1.9, 131.4, 0.14, 0, 
